Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.8885;0.8895;0.8885;0.8885;0.8605;0.8673;0.8605;0.862;0.85;0.8579;0.85;0.8507;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=512)
DecisionTreeClassifier;0.9021;0.9035;0.9021;0.9022;0.8776;0.884;0.8776;0.8786;0.85;0.8579;0.85;0.8507;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
DecisionTreeClassifier;0.9025;0.9031;0.9025;0.9024;0.8741;0.8809;0.8741;0.8755;0.85;0.8579;0.85;0.8507;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=512)
RandomForestClassifier;0.9036;0.9049;0.9036;0.904;0.8912;0.8949;0.8912;0.8919;0.85;0.8539;0.85;0.8505;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 699};RandomForestClassifier(n_estimators=20, random_state=699)
RandomForestClassifier;0.898;0.8995;0.898;0.8981;0.9456;0.9468;0.9456;0.9455;0.85;0.8539;0.85;0.8505;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
DecisionTreeClassifier;0.8919;0.8933;0.8919;0.8919;0.8946;0.8962;0.8946;0.8952;0.85;0.85;0.85;0.85;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=512)
RandomForestClassifier;0.9116;0.9124;0.9116;0.9117;0.8673;0.8663;0.8673;0.8657;0.85;0.85;0.85;0.85;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
KNeighborsClassifier;0.8658;0.8671;0.8658;0.8659;0.9048;0.9053;0.9048;0.9049;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8636;0.8654;0.8636;0.8638;0.8946;0.8997;0.8946;0.8954;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.87;0.8731;0.87;0.8706;0.915;0.9169;0.915;0.9155;0.85;0.8506;0.85;0.8499;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
