;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
21;RandomForestClassifier;0.8842;0.8845;0.8842;0.8842;0.8826;0.8827;0.8826;0.8824;0.85;0.8542;0.85;0.8506;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 610};RandomForestClassifier(n_estimators=10, random_state=610)
40;RandomForestClassifier;0.883;0.8834;0.883;0.8829;0.898;0.8991;0.898;0.8979;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 869};RandomForestClassifier(n_estimators=20, random_state=869)
19;DecisionTreeClassifier;0.8838;0.8843;0.8838;0.8838;0.8886;0.8894;0.8886;0.8883;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
45;RandomForestClassifier;0.9149;0.9153;0.9149;0.915;0.9302;0.9303;0.9302;0.9302;0.85;0.8524;0.85;0.8488;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 848};RandomForestClassifier(n_estimators=20, random_state=848)
47;KNeighborsClassifier;0.9094;0.9105;0.9094;0.9096;0.9074;0.9077;0.9074;0.9075;0.85;0.8526;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
48;KNeighborsClassifier;0.9105;0.9116;0.9105;0.9107;0.9095;0.9102;0.9095;0.9095;0.85;0.8526;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
49;KNeighborsClassifier;0.9122;0.9132;0.9122;0.9123;0.9128;0.913;0.9128;0.9128;0.85;0.8526;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
50;KNeighborsClassifier;0.9089;0.9099;0.9089;0.909;0.9107;0.9116;0.9107;0.9108;0.85;0.8526;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
51;KNeighborsClassifier;0.9099;0.9109;0.9099;0.9101;0.9161;0.9167;0.9161;0.9161;0.85;0.8526;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
18;DecisionTreeClassifier;0.8838;0.8843;0.8838;0.8837;0.8846;0.8848;0.8846;0.8846;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
