Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.36;0.2433;0.36;0.2627;0.3333;0.25;0.3333;0.2778;0.1667;0.125;0.1667;0.1429;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'};KNeighborsClassifier(metric='manhattan', p=1)
KNeighborsClassifier;0.44;0.3;0.44;0.305;0.3333;0.125;0.3333;0.1778;0.1667;0.125;0.1667;0.1429;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'};KNeighborsClassifier(metric='manhattan', p=1)
KNeighborsClassifier;0.44;0.2767;0.44;0.3143;0.3333;0.2778;0.3333;0.3;0.1667;0.125;0.1667;0.1429;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=7)
LogisticRegression;0.2857;0.2698;0.2857;0.1648;0.2;0.1;0.2;0.1333;0.1667;0.1111;0.1667;0.1333;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 396, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=396)"
KNeighborsClassifier;0.2857;0.1706;0.2857;0.1611;0.2;0.0571;0.2;0.0889;0.1667;0.1111;0.1667;0.1333;not-balanced;['polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=11)
MLPClassifier;0.68;0.56;0.68;0.56;0.0;0.0;0.0;0.0;0.1667;0.1111;0.1667;0.1333;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_iter': 100000, 'random_state': 984, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=984)
SVC;0.28;0.2413;0.28;0.1727;0.5;0.25;0.5;0.3333;0.1667;0.1111;0.1667;0.1333;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'kernel': 'linear', 'random_state': 926};SVC(C=0.1, kernel='linear', random_state=926)
RandomForestClassifier;0.125;0.1528;0.125;0.0944;0.375;0.2917;0.375;0.325;0.1667;0.1111;0.1667;0.1333;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 20, 'random_state': 783};RandomForestClassifier(n_estimators=20, random_state=783)
LogisticRegression;0.3016;0.2646;0.3016;0.1556;0.3636;0.1623;0.3636;0.2242;0.1667;0.1111;0.1667;0.1333;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 683, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=683)"
RandomForestClassifier;0.3968;0.3948;0.3968;0.2878;0.2727;0.2909;0.2727;0.2576;0.1667;0.1111;0.1667;0.1333;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 10, 'random_state': 142};RandomForestClassifier(n_estimators=10, random_state=142)
