Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
SVC,0.8304,0.8461,0.8304,0.8324,0.8299,0.8483,0.8299,0.8321,0.7167,0.7444,0.7167,0.7214,0.938,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,SVC(probability=True)
LogisticRegression,0.6251,0.6355,0.6251,0.6269,0.6171,0.6348,0.6171,0.6195,0.7167,0.7182,0.7167,0.7154,0.8075,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6814,0.685,0.6814,0.6808,0.6929,0.6938,0.6929,0.6922,0.7167,0.7214,0.7167,0.7149,0.8512,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8547,0.8553,0.8547,0.8547,0.8439,0.8451,0.8439,0.8442,0.7167,0.7164,0.7167,0.7127,0.9613,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,DecisionTreeClassifier()
LogisticRegression,0.6243,0.6353,0.6243,0.6259,0.6216,0.6331,0.6216,0.6228,0.7,0.7111,0.7,0.701,0.8067,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.8531,0.8574,0.8531,0.8545,0.8473,0.8506,0.8473,0.8484,0.7,0.7068,0.7,0.6999,0.9251,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,SVC(probability=True)
RandomForestClassifier,0.8802,0.8811,0.8802,0.8805,0.8922,0.8926,0.8922,0.8924,0.7,0.6992,0.7,0.6985,0.9708,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8512,0.8521,0.8512,0.8514,0.8641,0.8659,0.8641,0.8647,0.6833,0.6858,0.6833,0.6838,0.9605,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,RandomForestClassifier()
LogisticRegression,0.8263,0.8311,0.8263,0.8272,0.8091,0.8136,0.8091,0.8107,0.6833,0.6882,0.6833,0.6833,0.935,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.8255,0.8278,0.8255,0.8256,0.813,0.8137,0.813,0.8133,0.6667,0.6693,0.6667,0.6671,0.9303,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.8822,0.8833,0.8822,0.8825,0.881,0.8832,0.881,0.8814,0.6667,0.6719,0.6667,0.6643,0.9703,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,DecisionTreeClassifier()
SVC,0.7295,0.7568,0.7295,0.731,0.7103,0.7415,0.7103,0.713,0.65,0.6656,0.65,0.6537,0.8771,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,SVC(probability=True)
LogisticRegression,0.6894,0.6923,0.6894,0.6888,0.6805,0.6842,0.6805,0.6805,0.65,0.6528,0.65,0.6454,0.8552,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
KNeighborsClassifier,0.8234,0.8295,0.8234,0.8241,0.8164,0.8217,0.8164,0.8175,0.6333,0.6486,0.6333,0.6362,0.935,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,KNeighborsClassifier()
LogisticRegression,0.6959,0.7153,0.6959,0.6961,0.717,0.7309,0.717,0.7161,0.6333,0.6439,0.6333,0.6349,0.8442,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6207,0.6291,0.6207,0.6217,0.6326,0.6388,0.6326,0.6336,0.6333,0.6452,0.6333,0.633,0.8108,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6879,0.6909,0.6879,0.6875,0.6717,0.6745,0.6717,0.671,0.6167,0.6288,0.6167,0.619,0.8616,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6962,0.7135,0.6962,0.6963,0.7092,0.7256,0.7092,0.7095,0.6,0.6003,0.6,0.5966,0.8397,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.6553,0.6552,0.6553,0.6542,0.6762,0.676,0.6762,0.6756,0.5833,0.5814,0.5833,0.5794,0.8411,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,SVC(probability=True)
SVC,0.6478,0.6493,0.6478,0.6481,0.646,0.6471,0.646,0.6464,0.5667,0.5654,0.5667,0.5653,0.8344,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,SVC(probability=True)
