Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
LogisticRegression,0.6754,0.6787,0.6754,0.6749,0.6873,0.6888,0.6873,0.6868,0.6833,0.6892,0.6833,0.6828,0.8595,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8585,0.8608,0.8585,0.8588,0.854,0.8576,0.854,0.8548,0.6833,0.6825,0.6833,0.6819,0.961,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
LogisticRegression,0.6285,0.6305,0.6285,0.6287,0.6474,0.6485,0.6474,0.6477,0.6667,0.6659,0.6667,0.6654,0.8234,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.695,0.7147,0.695,0.6952,0.7097,0.7267,0.7097,0.7102,0.65,0.6675,0.65,0.6521,0.8452,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.7272,0.7583,0.7272,0.7286,0.736,0.7664,0.736,0.7374,0.65,0.6677,0.65,0.6498,0.8751,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
LogisticRegression,0.6837,0.6871,0.6837,0.6834,0.6829,0.6844,0.6829,0.6827,0.6333,0.6372,0.6333,0.6332,0.867,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6969,0.7157,0.6969,0.6969,0.6985,0.7186,0.6985,0.6993,0.6333,0.6439,0.6333,0.6302,0.8443,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6386,0.641,0.6386,0.6388,0.6409,0.6437,0.6409,0.6418,0.6,0.6107,0.6,0.6037,0.8284,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.6558,0.655,0.6558,0.6549,0.665,0.6652,0.665,0.665,0.5833,0.5814,0.5833,0.5794,0.8381,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
SVC,0.6511,0.6512,0.6511,0.6504,0.6611,0.6615,0.6611,0.6612,0.5833,0.5814,0.5833,0.5794,0.8397,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
