Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.8824;0.8833;0.8824;0.8814;0.8696;0.874;0.8696;0.8707;0.8333;0.8322;0.8333;0.8324;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 40};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=40)
KNeighborsClassifier;0.8019;0.8129;0.8019;0.8023;0.8551;0.8611;0.8551;0.856;0.8333;0.8333;0.8333;0.8323;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
DecisionTreeClassifier;0.8841;0.8882;0.8841;0.8835;0.8841;0.8865;0.8841;0.8809;0.8333;0.8333;0.8333;0.8323;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 238};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=238)
RandomForestClassifier;0.9195;0.9222;0.9195;0.9193;0.9275;0.9321;0.9275;0.9272;0.8333;0.8338;0.8333;0.8322;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 184};RandomForestClassifier(n_estimators=10, random_state=184)
KNeighborsClassifier;0.8116;0.823;0.8116;0.8116;0.8551;0.8555;0.8551;0.8517;0.8333;0.8338;0.8333;0.8322;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
KNeighborsClassifier;0.7826;0.7889;0.7826;0.7814;0.8551;0.8536;0.8551;0.8519;0.8333;0.8338;0.8333;0.8322;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
KNeighborsClassifier;0.818;0.8225;0.818;0.8174;0.8406;0.8397;0.8406;0.8391;0.8333;0.8338;0.8333;0.8322;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8197;0.8274;0.8197;0.8196;0.8406;0.8499;0.8406;0.842;0.8333;0.8338;0.8333;0.8322;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
DecisionTreeClassifier;0.876;0.8812;0.876;0.8759;0.8406;0.8444;0.8406;0.8408;0.8333;0.8338;0.8333;0.8322;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 238};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=238)
RandomForestClassifier;0.9162;0.9186;0.9162;0.9161;0.9275;0.9297;0.9275;0.9278;0.8333;0.8366;0.8333;0.8307;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 997};RandomForestClassifier(n_estimators=20, random_state=997)
RandomForestClassifier;0.9163;0.9217;0.9163;0.9164;0.9565;0.9565;0.9565;0.9562;0.8333;0.8332;0.8333;0.8302;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
DecisionTreeClassifier;0.8776;0.8834;0.8776;0.8774;0.8696;0.8952;0.8696;0.8724;0.8333;0.837;0.8333;0.8279;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 701};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=701)
KNeighborsClassifier;0.818;0.8213;0.818;0.8174;0.8116;0.8169;0.8116;0.8132;0.8167;0.819;0.8167;0.8168;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
DecisionTreeClassifier;0.8776;0.8784;0.8776;0.8761;0.8696;0.8762;0.8696;0.8711;0.8167;0.8167;0.8167;0.8167;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 40};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=40)
DecisionTreeClassifier;0.8841;0.8883;0.8841;0.8836;0.7971;0.7996;0.7971;0.7975;0.8167;0.8167;0.8167;0.8167;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 701};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=701)
DecisionTreeClassifier;0.8905;0.8962;0.8905;0.8906;0.8406;0.8534;0.8406;0.841;0.8167;0.8167;0.8167;0.8167;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 238};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=238)
RandomForestClassifier;0.9307;0.9335;0.9307;0.931;0.913;0.9181;0.913;0.9129;0.8167;0.8163;0.8167;0.8162;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 997};RandomForestClassifier(n_estimators=10, random_state=997)
RandomForestClassifier;0.913;0.9178;0.913;0.9125;0.8696;0.8746;0.8696;0.8687;0.8167;0.8163;0.8167;0.8162;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 724};RandomForestClassifier(n_estimators=5, random_state=724)
KNeighborsClassifier;0.8115;0.8187;0.8115;0.8117;0.8841;0.8846;0.8841;0.8832;0.8167;0.8163;0.8167;0.8162;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
DecisionTreeClassifier;0.889;0.8943;0.889;0.8881;0.8551;0.8569;0.8551;0.8549;0.8167;0.8164;0.8167;0.8162;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 40};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=40)
KNeighborsClassifier;0.818;0.8261;0.818;0.8189;0.971;0.9733;0.971;0.971;0.8167;0.8163;0.8167;0.8162;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.8325;0.8433;0.8325;0.8339;0.8696;0.8681;0.8696;0.8686;0.8167;0.8163;0.8167;0.8162;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8165;0.8277;0.8165;0.8176;0.913;0.9177;0.913;0.9135;0.8167;0.8163;0.8167;0.8162;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8132;0.8161;0.8132;0.8112;0.8696;0.8794;0.8696;0.8701;0.8167;0.8166;0.8167;0.8156;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
KNeighborsClassifier;0.8196;0.8254;0.8196;0.8186;0.7971;0.7988;0.7971;0.7972;0.8167;0.825;0.8167;0.8153;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
